Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Terance Mann (13772849),Terance Mann,13772849,SG/SF/F/G/UTIL,3500,ATL@LAC 11/16/2019 10:30PM ET,LAC,5.04
C,Jaxson Hayes (13772864),Jaxson Hayes,13772864,C/UTIL,3500,NO@MIA 11/16/2019 08:00PM ET,NO,13.91
PG/SF,Donte DiVincenzo (13772837),Donte DiVincenzo,13772837,PG/SF/F/G/UTIL,3500,MIL@IND 11/16/2019 07:00PM ET,MIL,13.91
SG/SF,Justin Holiday (13772854),Justin Holiday,13772854,SG/SF/F/G/UTIL,3500,MIL@IND 11/16/2019 07:00PM ET,IND,16.46
PF,Trey Lyles (13772842),Trey Lyles,13772842,PF/F/UTIL,3500,POR@SA 11/16/2019 08:30PM ET,SA,17.96
SF/PF,Dorian Finney-Smith (13772845),Dorian Finney-Smith,13772845,SF/PF/F/UTIL,3500,TOR@DAL 11/16/2019 08:30PM ET,DAL,17.25
PG/SG,Shabazz Napier (13772866),Shabazz Napier,13772866,PG/SG/G/UTIL,3400,HOU@MIN 11/16/2019 08:00PM ET,MIN,21.29
SG/SF,Damyean Dotson (13772874),Damyean Dotson,13772874,SG/SF/F/G/UTIL,3300,CHA@NY 11/16/2019 07:30PM ET,NY,8.12
PG/SF,Cody Martin (13772888),Cody Martin,13772888,PG/SF/F/G/UTIL,3300,CHA@NY 11/16/2019 07:30PM ET,CHA,11.59
PG/SG,Nickeil Alexander-Walker (13772893),Nickeil Alexander-Walker,13772893,PG/SG/G/UTIL,3300,NO@MIA 11/16/2019 08:00PM ET,NO,11.77
SF/PF,Jakarr Sampson (13772870),Jakarr Sampson,13772870,SF/PF/F/UTIL,3300,MIL@IND 11/16/2019 07:00PM ET,IND,12.78
SG/SF,Kyle Korver (13772883),Kyle Korver,13772883,SG/SF/F/G/UTIL,3300,MIL@IND 11/16/2019 07:00PM ET,MIL,11.44
PF/C,Skal Labissiere (13772879),Skal Labissiere,13772879,PF/C/F/UTIL,3300,POR@SA 11/16/2019 08:30PM ET,POR,13.40
SG/SF,Allen Crabbe (13772901),Allen Crabbe,13772901,SG/SF/F/G/UTIL,3200,ATL@LAC 11/16/2019 10:30PM ET,ATL,9
SF/PF,Derrick Jones Jr. (13772897),Derrick Jones Jr.,13772897,SF/PF/F/UTIL,3200,NO@MIA 11/16/2019 08:00PM ET,MIA,11.62
PF/C,Ersan Ilyasova (13772913),Ersan Ilyasova,13772913,PF/C/F/UTIL,3200,MIL@IND 11/16/2019 07:00PM ET,MIL,14.77
C,Robin Lopez (13772917),Robin Lopez,13772917,C/UTIL,3200,MIL@IND 11/16/2019 07:00PM ET,MIL,8.77
