Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jaylen Hoard (13773243),Jaylen Hoard,13773243,SF/PF/F/UTIL,3000,POR@SA 11/16/2019 08:30PM ET,POR,1.25
C,Moses Brown (13773247),Moses Brown,13773247,C/UTIL,3000,POR@SA 11/16/2019 08:30PM ET,POR,1.88
PG/SG,J.J. Barea (13773099),J.J. Barea,13773099,PG/SG/G/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,DAL,17.25
SG/SF,Courtney Lee (13773103),Courtney Lee,13773103,SG/SF/F/G/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,DAL,3.08
SG/SF,Ryan Broekhoff (13773108),Ryan Broekhoff,13773108,SG/SF/F/G/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,DAL,2.5
SG,Antonius Cleveland (13773113),Antonius Cleveland,13773113,SG/G/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,DAL,0
SF/PF,Justin Jackson (13773116),Justin Jackson,13773116,SF/PF/F/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,DAL,10.48
SG,Josh Reaves (13773120),Josh Reaves,13773120,SG/G/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,DAL,0
SF/PF,Isaiah Roby (13773123),Isaiah Roby,13773123,SF/PF/F/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,DAL,0
SG/SF,Malcolm Miller (13773249),Malcolm Miller,13773249,SG/SF/F/G/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,TOR,2
SG,Matt Thomas (13773254),Matt Thomas,13773254,SG/G/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,TOR,7.5
SF/PF,Stanley Johnson (13773257),Stanley Johnson,13773257,SF/PF/F/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,TOR,3.25
PG/SG,Patrick McCaw (13773261),Patrick McCaw,13773261,PG/SG/G/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,TOR,12.5
PF/C,Dewan Hernandez (13773265),Dewan Hernandez,13773265,PF/C/F/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,TOR,0
PG,Shamorie Ponds (13773269),Shamorie Ponds,13773269,PG/G/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,TOR,0
SF/PF,Oshae Brissett (13773272),Oshae Brissett,13773272,SF/PF/F/UTIL,3000,TOR@DAL 11/16/2019 08:30PM ET,TOR,0
